trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
158,False,"{'a': 0.5, 'e': 0.951105719935495}",25,13,-72.79931656487979,"{0: 5, 1: 4, 2: 2, 3: 0, 4: 1}",1
159,False,"{'a': 0.5, 'e': 0.9504860870963119}",25,0,-162.64905829507842,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
160,False,"{'a': 0.5, 'e': 0.9498626523140478}",25,5,-121.3841822273374,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",1
161,False,"{'a': 0.5, 'e': 0.9492354180824408}",20,0,-81.97386193253134,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
162,False,"{'a': 0.5, 'e': 0.9486043869104273}",20,0,-60.84043686972041,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.9479695613221308}",35,0,-115.88263727511391,"{0: 25, 1: 2, 2: 5, 3: 2, 4: 1}",0
164,False,"{'a': 0.5, 'e': 0.9473309438568531}",20,0,-121.03649684665736,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
165,False,"{'a': 0.5, 'e': 0.9466885370690631}",30,15,-17.328460597011638,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.946042343528387}",20,9,-79.83917656923211,"{0: 5, 1: 2, 2: 2, 3: 1, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.9453923658195982}",25,0,-89.92931026138969,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.9447386065426066}",25,5,-130.9897729962163,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",1
169,False,"{'a': 0.5, 'e': 0.9440810683124485}",20,0,-97.74454785613878,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
170,False,"{'a': 0.5, 'e': 0.9434197537592759}",20,0,-89.110373439157,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
171,False,"{'a': 0.5, 'e': 0.9427546655283462}",25,0,-163.04679977399294,"{0: 16, 1: 0, 2: 4, 3: 3, 4: 2}",0
172,False,"{'a': 0.5, 'e': 0.9420858062800114}",25,0,-89.26570374360307,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 2}",0
173,False,"{'a': 0.5, 'e': 0.9414131786897075}",25,0,-153.60119357822683,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
174,False,"{'a': 0.5, 'e': 0.9407367854479443}",20,0,-106.98485716790834,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
175,False,"{'a': 0.5, 'e': 0.9400566292602934}",25,0,-123.90691425593909,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
176,False,"{'a': 0.5, 'e': 0.9393727128473789}",30,0,-166.72505026598841,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
177,False,"{'a': 0.5, 'e': 0.9386850389448655}",20,0,-130.2700082468723,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
178,False,"{'a': 0.5, 'e': 0.937993610303448}",30,0,-41.388152776393675,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
179,False,"{'a': 0.5, 'e': 0.9372984296888399}",20,15,-2.4846142599625782,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.9365994998817627}",20,0,-121.74807339629517,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
181,False,"{'a': 0.5, 'e': 0.9358968236779348}",20,0,-59.35921452093733,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
182,False,"{'a': 0.5, 'e': 0.9351904038880602}",20,0,-54.47926802805798,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
183,False,"{'a': 0.5, 'e': 0.9344802433378168}",20,0,-79.23433419181659,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
